"File","Line","Column","Rule","Message","Classification","Evidence"
"quick-test.js","2","1","@typescript-eslint/no-require-imports","A `require()` style import is forbidden.","pre-existing","Identical offending source line exists in HEAD."
"quick-test.js","3","14","@typescript-eslint/no-require-imports","A `require()` style import is forbidden.","pre-existing","Identical offending source line exists in HEAD."
"scripts/publish-baby-stroller-content.mjs","62","11","@typescript-eslint/no-unused-vars","'_rev' is assigned a value but never used.","pre-existing","File was already modified or untracked in the captured pre-remediation working tree."
"scripts/publish-baby-stroller-content.mjs","62","17","@typescript-eslint/no-unused-vars","'_createdAt' is assigned a value but never used.","pre-existing","File was already modified or untracked in the captured pre-remediation working tree."
"scripts/publish-baby-stroller-content.mjs","62","29","@typescript-eslint/no-unused-vars","'_updatedAt' is assigned a value but never used.","pre-existing","File was already modified or untracked in the captured pre-remediation working tree."
"scripts/seed-baby-monitor-content-cluster.mjs","989","13","@typescript-eslint/no-unused-vars","'_imagePath' is assigned a value but never used.","pre-existing","File was already modified or untracked in the captured pre-remediation working tree."
"scripts/seed-baby-monitor-content-cluster.mjs","989","25","@typescript-eslint/no-unused-vars","'_imageAlt' is assigned a value but never used.","pre-existing","File was already modified or untracked in the captured pre-remediation working tree."
"scripts/seed-baby-monitor-content-cluster.mjs","1051","18","@typescript-eslint/no-unused-vars","'_type' is assigned a value but never used.","pre-existing","File was already modified or untracked in the captured pre-remediation working tree."
"scripts/seed-coffee-maker-content-cluster.mjs","961","13","@typescript-eslint/no-unused-vars","'_imagePath' is assigned a value but never used.","pre-existing","File was already modified or untracked in the captured pre-remediation working tree."
"scripts/seed-coffee-maker-content-cluster.mjs","961","25","@typescript-eslint/no-unused-vars","'_imageAlt' is assigned a value but never used.","pre-existing","File was already modified or untracked in the captured pre-remediation working tree."
"src/components/ArticleHero.tsx","3","62","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/ArticleSchema.tsx","11","4","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/Breadcrumb.tsx","18","7","@typescript-eslint/no-unused-vars","'BASE_URL' is assigned a value but never used.","pre-existing","Identical offending source line exists in HEAD."
"src/components/Breadcrumb.tsx","24","3","@typescript-eslint/no-unused-vars","'postSlug' is defined but never used.","pre-existing","Identical offending source line exists in HEAD."
"src/components/EditorialTrust.tsx","9","72","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/EditorialTrust.tsx","13","78","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/EditorialTrust.tsx","14","101","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
